OBJECTID,ID,P_UST,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,P_UST_D2
40305,110010021024,96.84641317,90.14227594,79.09974482,72.52388783,75.87235236,91.89201128,75.44140733,78.62589774,74.47450636,94.15211854,73.21589876,72.55840667,93.23742755
40306,110010021025,94.80013584,82.02083511,69.98818785,64.8305506,66.5960219,75.77262302,73.03643088,71.05837247,67.91071584,86.10369544,65.4469581,65.22341992,83.57191654
40307,110010021026,91.4578986,89.22871295,79.52383412,72.93760779,76.3684048,88.94361793,75.97619836,78.76409425,74.40077982,93.45330894,73.67265211,72.97877709,88.65279452
40308,110010022011,89.68343372,76.20505572,64.86943471,62.172956,62.14127726,69.25717663,71.01637002,65.56760717,63.95162316,79.83771822,61.90992569,61.83494769,73.96781255
40309,110010022012,77.61543771,91.47960545,80.96930251,76.93086345,76.72738207,89.07887161,76.41778421,79.72198188,76.16859747,94.06457806,74.01422514,73.30188629,81.55661542
40310,110010022013,87.29826616,83.3748327,72.16943761,67.92427821,67.7886268,84.25797188,74.43511513,72.34708091,69.01288473,88.4048132,66.42730826,66.14470893,79.52295698
40311,110010022021,82.23274871,97.03875792,89.95032689,83.85179277,88.17434326,95.13668504,77.461402,86.70906485,82.76551958,97.09268208,85.12486224,83.79367845,89.81492477
40312,110010022022,68.88388441,87.62324306,77.61872642,70.36350265,73.27233455,83.60046919,74.93406035,77.52553546,74.29243062,91.87955699,70.97782423,70.4623852,76.482938
40313,110010022023,68.33835015,74.9042366,63.99402272,60.82213818,61.59682349,69.04166731,70.22291078,64.78826649,63.42721895,78.23456651,61.49207156,61.43820204,68.59506823
40314,110010023011,40.91000256,89.54222791,79.73979151,74.74650428,74.51825777,83.27058242,75.10431003,79.0445389,76.97424873,93.93737674,72.01325709,71.46757548,69.69519668
40315,110010023012,40.90769963,79.84472214,68.77573572,64.70090672,64.6158935,70.2716526,71.6152334,69.72530494,68.18683296,84.8732774,63.86032832,63.72319095,66.81783032
40316,110010023021,81.31046511,80.67437953,74.66933727,69.58047358,69.40491796,90.12144303,71.09605357,76.33381398,78.10851665,92.21829875,67.69501996,67.40050827,78.21281514
40317,110010024001,96.76784694,68.74929108,60.94950344,59.56370877,59.53783023,68.73302617,68.03514588,61.58722957,61.5516167,75.29621994,59.9392061,59.908864,72.13396524
40318,110010024002,94.50541995,87.97083774,77.7792643,72.6667693,72.46324127,86.83688009,75.30800359,77.07522209,74.12387037,92.52638776,70.28711007,69.80991142,88.69709903
40319,110010024003,96.5924855,85.28667583,74.47922397,69.44970532,69.30184741,85.5086393,74.17444031,74.73046502,72.47127324,90.96974533,67.62890757,67.31638563,88.47064957
40320,110010024004,95.89200098,34.51653074,49.49959657,54.96054555,54.95731268,20.91623981,41.62952571,48.66374239,47.10669937,13.34458066,56.79861209,56.82900504,17.50892201
40321,110010025011,95.68027854,93.41070891,88.77937865,85.89413417,85.47327073,96.05190832,79.16955364,85.17473961,81.16057741,97.46548221,82.47721382,81.17643042,95.9473897
40322,110010025012,81.20471516,85.16427976,74.20398616,69.37838395,69.21753448,88.61118156,76.40652079,73.90738017,70.34390663,90.66112403,67.56897987,67.26139408,78.01696417
40323,110010025021,96.19496647,91.25384834,90.71977814,88.3460456,88.00883351,96.56790728,78.80886545,87.27740561,84.13024103,98.594576,84.9379609,83.64600249,96.95124182
40324,110010025022,97.86873023,82.79099027,77.0810637,72.04691953,71.83598888,90.06115585,75.0171863,77.27806204,75.25798646,94.73151302,69.74969166,69.33898892,92.318488
40325,110010025023,98.04543581,27.71116499,42.98282762,52.01833524,51.95552379,13.5161525,37.54517182,42.90748261,42.05253135,6.927752986,54.99242164,55.00296921,7.565316842
40326,110010025024,89.73022805,94.804346,91.48191519,89.41036268,89.1018611,97.63476329,80.02538104,87.68467874,83.67123937,98.79173514,86.0836001,84.75763615,93.83954743
40327,110010026001,68.1366138,43.74036241,55.21861718,56.99844861,57.003772,44.57607683,39.29852674,54.94384696,55.46753231,24.26736021,58.13600909,58.14550253,40.22905975
40328,110010026002,61.88531664,27.01273616,42.55181587,51.63967019,51.56602355,23.81348416,31.96184195,43.73711318,48.39059463,8.766535103,54.75310984,54.7728839,32.53882257
40329,110010027011,94.68227887,39.7062204,53.49609059,56.3918349,56.398711,22.79437292,40.95364004,52.74086275,52.78790158,17.85038651,57.74331908,57.7401948,25.43012702
40330,110010027012,16.24488857,47.82491258,55.67132491,57.18555373,57.19328714,35.4840421,41.68660399,55.22857432,55.34010264,24.15214793,58.26585958,58.26900618,63.67139863
