OBJECTID,GEOID10,Lead Paint,Diesel Particulate Matter,Air Toxics Cancer Risk,Air Toxics Respiratory HI,Traffic Proximity,Wastewater Discharge,Superfund Proximity,RMP Facility Proximity,Hazardous Waste Proximity,Ozone,Particulater Patter 2.5,Underground Storage Tanks
40399,110010049022,44.16,42.26,52.80,52.76,6.33,40.46,37.32,41.05,2.64,55.51,55.48,16.10
40400,110010050011,11.58,16.24,32.30,32.03,1.03,33.72,18.22,17.81,0.39,42.37,41.95,4.16
40401,110010050012,26.91,38.21,50.74,50.61,5.41,38.14,35.72,36.54,2.12,54.25,54.21,11.19
40402,110010050021,86.33,92.99,88.89,88.56,99.26,78.15,91.86,85.20,99.75,85.35,84.15,94.85
40403,110010050022,22.13,10.19,24.86,24.64,0.21,31.78,13.51,16.29,0.21,36.12,35.55,2.27
40404,110010050023,23.95,28.19,44.61,44.28,1.96,36.26,26.76,28.25,0.92,50.62,50.49,11.89
40405,110010050024,78.51,77.07,70.17,69.98,96.20,74.02,79.78,73.42,96.76,68.12,67.84,80.14
40406,110010052011,11.79,7.97,20.85,20.62,0.13,30.22,11.92,15.16,0.15,32.06,31.49,1.31
40407,110010052012,1.83,3.03,10.21,10.14,0.14,27.19,7.74,9.78,0.06,19.56,18.95,0.51
40408,110010052013,69.24,68.98,64.00,63.95,91.32,72.52,71.55,67.15,92.49,63.29,63.20,73.98
40409,110010052014,8.45,4.32,13.57,13.49,0.29,28.78,9.20,10.65,0.08,23.96,23.40,0.78
40410,110010053011,7.01,11.89,26.46,26.25,1.07,29.84,16.79,18.39,0.29,37.55,37.04,1.78
40411,110010053012,5.29,8.34,21.16,20.93,0.35,27.78,13.60,16.60,0.16,32.35,31.77,17.41
40412,110010053013,19.36,14.13,29.50,29.22,0.42,29.54,17.94,21.47,0.23,40.15,39.69,6.01
40413,110010053014,4.58,7.69,20.01,19.78,0.52,28.18,13.05,15.43,0.17,31.19,30.58,15.62
40414,110010055001,4.58,7.49,19.77,19.56,0.13,22.31,13.90,17.93,0.17,30.93,30.34,19.06
40415,110010055002,31.91,5.28,15.41,15.32,0.16,16.79,11.84,24.77,0.13,26.15,25.62,1.69
40416,110010055003,25.88,7.16,19.15,18.96,0.36,22.94,13.32,24.39,0.12,30.29,29.72,2.91
40417,110010055004,34.42,39.05,51.16,51.04,3.71,28.73,38.48,44.04,2.29,54.50,54.49,24.38
40418,110010055005,11.68,16.84,32.91,32.58,0.60,25.78,20.98,26.02,0.31,42.79,42.44,11.84
40419,110010056001,69.86,68.14,63.52,63.45,92.95,80.00,69.50,62.13,90.26,62.89,62.82,83.97
40420,110010056002,16.45,6.00,16.89,16.78,0.10,12.93,12.08,29.62,0.13,27.86,27.36,0.66
40421,110010056003,67.99,65.16,61.64,61.60,86.67,73.36,66.90,60.84,86.54,61.47,61.44,74.05
40422,110010056004,82.13,82.53,75.83,75.62,97.92,82.02,81.77,68.79,98.45,72.85,72.32,94.73
40423,110010058001,28.76,5.41,16.47,16.35,0.42,44.87,6.74,14.43,0.11,27.56,26.88,2.34
40424,110010058002,67.54,73.23,66.95,66.87,92.83,65.65,78.57,69.96,93.87,65.57,65.43,77.42
40425,110010059001,72.73,80.20,73.18,72.97,97.58,66.40,85.21,75.78,97.22,70.54,70.20,87.58
40426,110010062021,62.92,48.98,55.30,55.29,7.71,37.74,41.37,51.14,9.33,57.04,57.06,33.72
40427,110010064001,91.81,91.05,89.08,88.76,95.93,82.70,97.11,73.98,98.53,85.29,84.20,98.92
40428,110010064002,91.70,89.20,86.55,86.15,93.51,82.46,96.32,72.23,97.55,82.65,81.60,95.87
40429,110010065001,9.69,18.86,34.94,34.61,6.75,29.09,5.71,27.55,0.91,44.65,44.08,9.86
40430,110010065002,12.40,23.43,39.68,39.28,0.78,29.44,7.29,32.13,1.38,47.80,47.38,12.47
40431,110010066001,0.12,1.71,5.82,5.88,1.80,23.39,0.85,9.17,0.09,13.31,12.41,1.70
